scraped_org_name,source_type,source_name,role,source_url,verified_nonprofit,propublica_ein,propublica_org_name
Maliasili,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
United Way of Passaic County,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"10,000 Degrees",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
ABFE,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Absarokee Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
ACT for Alexandria,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Acton Family Giving,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Adams County Community Foundation (PA),trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Adams County Community Foundation (OH),trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Adirondack Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Advanced Technology International Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Agog,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
The Alaska Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Alexandria Area Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Alger Regional Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Algernon Sydney Sullivan Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Alisann and Terry Collins Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Allen Family Philanthropies,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Alliance for Justice,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Alliance Healthcare Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
The Allstate Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Altman Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Amalgamated Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
American Association of University Women (AAUW),trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
American Express Company,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
American Express Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
American Psychological Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"American Tower Charitable Foundation, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
AmeriHealth Caritas Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Anaheim Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Anchorum Health Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Anderson-Rogers Foundation, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Ann Arbor Area Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
The Anne and Henry Zarrow Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Anne Ray Charitable Trust,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Appalachia Funders Network,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Arizona Community Foundation of Yuma,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Arizona Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Arizona Foundation for Women Inc.,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Arkansas Community Foundation, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Arlington Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Arlington Tomorrow Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Armstrong County Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Ashland County Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Asian Americans/Pacific Islanders in Philanthropy,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Aspen Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Associated Bank,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Athens Area Community Foundation, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Athletes Care Association Inc.,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Autauga Area Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Avery Dennison Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
"Bader Philanthropies, Inc.",trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Bainbridge Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Baker Tilly Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Baltimore Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Bank of Marin Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Barberton Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Barnesville-Lamar Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Barr Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
Barrow Community Foundation,trade_group,Council on Foundations,member,https://cof.org/member-directory/non-members,,,
