scraped_org_name,source_type,source_name,role,source_url,verified_nonprofit,propublica_ein,propublica_org_name
"Advocacy Matters, LLC",trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
ARC (Amundsen Resource Conservation) LLC,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
"BackOffice Thinking, LLC",trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,false,,
Bartlett Tree Experts,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
"BCM Environmental and Land Law, PLLC",trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Berg Hill Greenleaf Ruscitti LLP,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Bold Bison Communications and Consulting,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Boulder County Parks & Open Space,trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
Brannon Title Consulting,trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
"Braun & Gresham, PLLC",trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,false,,
"Bream Fishermen Association, Inc.",trade_group,Land Trust Alliance,Nonprofit Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
"Brownstein Hyatt Farber Schreck, LLP",trade_group,Land Trust Alliance,Professional Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Buncombe County Soil and Water District,trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
California Council of Land Trusts,trade_group,Land Trust Alliance,State Association Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
Centre for Land Conservation,trade_group,Land Trust Alliance,Nonprofit Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
City of Missoula Open Space Program,trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,false,,
Coalition of Oregon Land Trusts,trade_group,Land Trust Alliance,State Association Affiliate,https://landtrustalliance.org/resources/connect/affiliates,,,
"Colorado Parks and Wildlife, Real Estate Section",trade_group,Land Trust Alliance,Government Affiliation,https://landtrustalliance.org/resources/connect/affiliates,,,
